user_id,plan_type,subscription_days,cohort_month,acquisition_channel,cac,is_new_user,active_days_l30,watch_sessions_l30,total_watch_time_l30,active_days_l60,watch_sessions_l60,total_watch_time_l60,active_days_l90,watch_sessions_l90,total_watch_time_l90,completion_rate_l30,binge_sessions_l30,content_diversity_score,avg_session_duration,last_watch_days_ago,trial_user,is_paid,churned_90d
U00000,Family,449,2023-03,paid,102,0,3,8,32,4,10,43,5,14,59,0.66,4,0.6,52,19,0,1,0
U00001,Family,342,2024-12,paid,140,0,13,24,72,16,31,93,19,36,109,0.26,14,0.63,53,30,0,1,0
U00002,Family,159,2023-02,paid,123,0,7,12,48,9,16,64,10,17,69,0.71,8,0.5,52,17,0,1,0
U00003,Hollywood,299,2025-10,paid,92,0,4,11,33,5,14,44,7,21,65,0.44,14,0.49,33,40,0,1,1
U00004,Hollywood,133,2025-03,paid,113,0,22,14,42,31,19,59,35,22,67,0.44,4,0.43,21,37,0,1,0
U00005,Family,296,2025-11,organic,0,0,6,21,84,7,27,111,10,35,142,0.55,8,0.86,23,38,0,1,1
U00006,Hollywood,457,2023-04,organic,0,0,7,10,20,8,12,24,14,21,42,0.32,10,0.51,33,12,0,1,0
U00007,Family,117,2025-07,organic,0,0,8,7,21,11,9,28,15,13,39,0.45,13,0.74,26,6,0,1,0
U00008,Family,349,2024-10,organic,0,0,9,20,60,13,29,89,16,36,110,0.27,11,0.56,57,18,0,1,0
U00009,Family,40,2025-03,organic,0,0,5,25,75,7,38,114,10,52,158,0.65,14,0.75,36,22,0,1,0
U00010,Family,66,2024-06,organic,0,0,3,4,16,3,5,20,6,8,33,0.91,1,0.29,36,18,0,1,0
U00011,Hollywood,182,2023-08,paid,82,0,9,4,12,10,4,14,15,6,20,0.94,5,0.65,21,30,0,1,0
U00012,Family,34,2025-07,paid,92,0,5,5,15,6,6,18,9,9,27,0.26,9,0.51,36,30,0,1,1
U00013,Family,340,2024-04,paid,94,0,18,9,18,27,13,27,26,13,26,0.79,1,0.22,37,23,0,1,0
U00014,Family,331,2025-11,paid,100,0,7,13,52,10,20,81,10,19,77,0.89,13,0.21,30,40,0,1,0
U00015,Hollywood,419,2024-06,paid,135,0,5,6,12,7,9,18,8,10,21,0.57,9,0.72,61,18,0,1,0
U00016,Hollywood,129,2023-11,paid,134,0,5,11,44,6,13,53,8,18,75,0.79,7,0.35,58,20,0,1,0
U00017,Family,468,2025-03,paid,117,0,2,7,21,2,10,30,3,12,37,0.95,6,0.66,31,36,0,1,0
U00018,Family,455,2023-10,paid,110,0,10,9,18,13,12,24,15,14,28,0.44,0,0.73,20,36,0,1,1
U00019,Family,441,2023-01,paid,78,0,16,17,68,25,26,106,28,30,122,0.76,1,0.62,55,4,0,1,0
U00020,Family,324,2024-12,organic,0,0,10,29,116,14,43,173,16,47,188,0.79,0,0.21,58,3,0,1,0
U00021,Hollywood,369,2024-09,paid,76,0,4,16,32,6,24,48,7,29,58,0.9,3,0.59,51,22,0,1,0
U00022,Hollywood,419,2024-06,paid,121,0,9,17,68,11,21,86,16,30,121,0.84,9,0.52,68,31,0,1,0
U00023,Hollywood,202,2024-05,paid,77,0,15,12,36,22,17,52,28,22,68,0.32,7,0.27,33,21,0,1,0
U00024,Hollywood,276,2023-03,paid,84,0,9,16,64,12,22,90,17,30,122,0.85,0,0.63,23,7,0,1,0
U00025,Family,316,2025-07,paid,80,0,8,11,22,10,14,29,13,17,35,0.3,8,0.57,28,25,0,1,0
U00026,Family,247,2024-06,organic,0,0,3,6,18,4,9,27,4,9,28,0.42,7,0.55,58,44,0,1,1
U00027,Hollywood,123,2025-01,paid,111,0,3,6,18,4,8,25,5,11,34,0.4,0,0.44,61,0,0,1,0
U00028,Family,474,2025-11,organic,0,0,12,12,48,14,14,59,19,19,77,0.65,10,0.41,28,31,0,1,0
U00029,Family,282,2023-03,paid,121,0,5,17,51,7,25,76,10,34,102,0.68,1,0.65,31,10,0,1,0
U00030,Family,468,2024-10,paid,149,0,7,7,14,9,9,19,13,13,26,0.94,5,0.25,53,14,0,1,0
U00031,Hollywood,203,2024-07,paid,123,0,20,21,42,29,30,61,40,43,86,0.39,14,0.61,26,28,0,1,0
U00032,Family,242,2024-03,paid,127,0,14,15,60,22,23,94,30,32,131,0.67,10,0.68,30,17,0,1,0
